depth,threshold,feature,value
10,,,[ 0.  0.  0.  0. 28.  0.  0.  0.  0.  0.]
9,-0.9995092451572418,3,
10,,,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
10,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
7,0.28434865176677704,2,
8,0.16115731000900269,1,
9,-0.985911637544632,3,
10,0.7895975708961487,0,
11,,,[ 0.  0.  0.  0.  4.  0.  0.  0. 78.  0.]
11,,,[0. 2. 0. 0. 4. 0. 0. 7. 5. 0.]
10,0.18399153649806976,2,
11,,,[0. 0. 0. 0. 0. 0. 0. 4. 0. 0.]
11,,,[0. 0. 0. 0. 4. 0. 0. 4. 0. 0.]
9,0.20088311284780502,2,
10,0.9397603273391724,0,
11,,,[ 0.  5.  3.  0. 16.  0.  0.  7.  0.  0.]
11,,,[ 0.  0.  0.  0.  1.  0.  0. 10.  0.  0.]
10,0.852077305316925,0,
11,,,[0. 0. 0. 0. 9. 0. 0. 3. 0. 0.]
11,,,[ 0.  0.  2.  0.  0.  0.  0.  0. 31.  0.]
8,0.37493741512298584,1,
9,0.7421422898769379,0,
10,0.7355476915836334,0,
11,,,[0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
11,,,[9. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,0.6320799887180328,2,
11,,,[ 0.  5.  2.  0. 37.  0.  0. 77. 23.  0.]
11,,,[11.  0.  0.  0.  2.  9.  0. 13. 16.  0.]
9,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 15.  0.]
4,0.18814519047737122,1,
5,0.7086004316806793,2,
6,-0.6084543466567993,3,
7,0.4497019499540329,0,
8,-0.6486055552959442,3,
9,0.14477093517780304,1,
10,-0.667964905500412,3,
11,,,[22.  0.  0.  0.  1.  0.  0.  0.  0.  0.]
11,,,[36.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
10,,,[0. 0. 0. 0. 4. 0. 0. 0. 0. 0.]
9,0.32938602566719055,0,
10,,,[0. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
10,-0.6286696791648865,3,
11,,,[0. 0. 0. 0. 3. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 2. 0. 0. 1. 0. 0.]
8,0.8686686158180237,0,
9,0.12844981253147125,1,
10,0.1112360879778862,1,
11,,,[ 0.  0. 14.  0. 12.  0.  0.  5.  0.  0.]
11,,,[ 0.  0. 15.  0.  2.  0.  0.  0.  0.  0.]
10,0.1805047243833542,1,
11,,,[ 0.  2. 13.  0. 42.  3.  0. 12.  0.  0.]
11,,,[0. 0. 3. 0. 1. 0. 0. 7. 0. 0.]
9,0.09941692277789116,1,
10,-0.6486055552959442,3,
11,,,[0. 0. 1. 0. 1. 0. 0. 1. 0. 0.]
11,,,[ 9.  0.  0.  0. 11. 15.  0.  0.  0.  0.]
10,0.9115700721740723,0,
11,,,[0. 0. 3. 0. 2. 0. 0. 2. 0. 0.]
11,,,[0. 0. 1. 0. 7. 0. 0. 0. 0. 0.]
7,0.15483970940113068,1,
8,-0.9158303439617157,2,
9,0.6825207769870758,0,
10,0.6248657703399658,0,
11,,,[56. 12. 84.  0. 38.  0.  0. 39.  0.  0.]
11,,,[ 4.  2.  3.  0. 11.  4. 60.  2.  0.  0.]
10,-0.9750284254550934,2,
11,,,[ 0.  4. 11.  0.  5.  3.  0.  8.  0. 47.]
11,,,[ 10.  10. 102.   0.  15.   0.   0.  37.  25.   0.]
9,0.5387600958347321,0,
10,-0.46353310346603394,3,
11,,,[ 0.  3. 45.  0. 15.  5.  0. 24.  0.  0.]
11,,,[ 0.  3. 31.  0.  6.  8.  0.  5.  0. 18.]
10,-0.9014683067798615,2,
11,,,[  0.   2.  36.   0.   9.   0. 194.  15.  15.   0.]
11,,,[ 12.  14.  70.   0.  54.   8. 115.  39.  16.   0.]
8,-0.44821274280548096,3,
9,0.18531662970781326,1,
10,0.1652374565601349,1,
11,,,[ 0.  0. 31.  0. 22.  8.  0. 15.  0.  0.]
11,,,[ 0.  0. 31.  0.  7.  0.  0.  8.  0.  0.]
10,0.4101835638284683,0,
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 8. 0. 0.]
9,0.16104909777641296,1,
10,-0.9710640907287598,2,
11,,,[0. 0. 2. 0. 7. 0. 0. 6. 0. 0.]
11,,,[ 0.  5. 39.  0.  9.  5.  0. 14.  0.  0.]
10,0.17971232533454895,1,
11,,,[  0.   4.  52.   0.  15.   6.   0.  10. 100.   0.]
11,,,[ 0.  0. 28.  0.  6.  0.  0. 13.  0. 17.]
6,0.15047717839479446,1,
7,-0.6345851421356201,3,
8,-0.6807481944561005,3,
9,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
9,,,[0. 0. 0. 0. 4. 0. 0. 0. 0. 0.]
8,,,[ 0.  0.  0.  0.  0.  0.  0. 12.  0.  0.]
7,,,[ 0.  0.  0.  0.  0.  0.  0. 48.  0.  0.]
5,0.5085871815681458,0,
6,0.4845201224088669,0,
7,-0.9750284254550934,2,
8,0.47471892833709717,1,
9,0.2376946434378624,1,
10,,,[0. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
10,0.4472770541906357,0,
11,,,[3. 0. 3. 0. 0. 0. 0. 0. 0. 0.]
11,,,[53.  0.  0.  0.  9.  0.  0.  0.  0.  0.]
9,-0.9820892214775085,2,
10,0.36208537220954895,0,
11,,,[0. 0. 6. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 4. 0. 0. 0. 0. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
8,0.31328055262565613,1,
9,0.3075728416442871,1,
10,0.28197675943374634,1,
11,,,[ 0.  5.  6.  0. 26.  4.  0.  9.  0.  0.]
11,,,[0. 0. 5. 0. 0. 0. 0. 0. 0. 0.]
10,0.3116529881954193,1,
11,,,[ 0.  0.  0.  0.  0.  0. 42.  0.  0.  0.]
11,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
9,-0.3375104069709778,3,
10,0.612854540348053,1,
11,,,[ 16.   9. 147.   0.  38.  10.   0.  74.  11.   0.]
11,,,[0. 0. 4. 0. 0. 0. 0. 0. 8. 0.]
10,0.3941415548324585,0,
11,,,[ 0.  0.  1.  0. 18.  0.  0.  4.  0.  0.]
11,,,[0. 0. 7. 0. 5. 0. 0. 7. 0. 0.]
7,-0.9412824511528015,2,
8,0.47360146045684814,1,
9,-0.25534383952617645,3,
10,-0.9469526708126068,2,
11,,,[ 0.  2. 10.  0.  8.  0.  0.  6.  0.  0.]
11,,,[ 0.  0.  4. 66.  0.  0.  0.  0.  0.  0.]
10,0.4882602095603943,0,
11,,,[ 0.  0.  0. 87.  0.  0.  0.  0.  0.  0.]
11,,,[  0.   0.   3. 108.   1.   0.   0.   1.   0.   0.]
9,-0.9710640907287598,2,
10,0.5938455760478973,1,
11,,,[ 0.  0.  0.  0.  0.  0.  0. 10.  0.  0.]
11,,,[0. 0. 7. 0. 0. 0. 0. 0. 0. 0.]
10,0.4792999178171158,1,
11,,,[10.  0.  0.  0.  1.  0.  0.  0.  0.  0.]
11,,,[0. 0. 1. 0. 6. 0. 0. 4. 0. 0.]
8,0.48726247251033783,0,
9,-0.851793497800827,2,
10,0.4695025235414505,1,
11,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
11,,,[0. 0. 4. 0. 1. 0. 0. 2. 0. 0.]
