depth,threshold,feature,value
11,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
7,0.2511807605624199,2,
8,0.35331137478351593,0,
9,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 18.  0.]
9,0.8623463213443756,0,
10,0.7575908303260803,0,
11,,,[ 0.  0.  5.  0. 45.  4.  0.  3.  7.  0.]
11,,,[0. 0. 0. 0. 4. 0. 0. 7. 0. 0.]
10,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 10.  0.]
8,0.6453242003917694,2,
9,0.5488226413726807,2,
10,0.17172551900148392,1,
11,,,[17.  6. 14.  0. 23.  4.  0. 50.  0.  0.]
11,,,[17. 16.  9.  0. 46.  9.  0. 43. 69.  0.]
10,0.8384421169757843,0,
11,,,[ 0.  0.  3.  0.  4.  0.  0. 32.  0.  0.]
11,,,[0. 0. 0. 0. 3. 0. 0. 3. 0. 0.]
9,-0.7411945462226868,3,
10,0.7562869191169739,0,
11,,,[ 0.  5.  1.  0.  0.  0.  0.  2. 26.  0.]
11,,,[0. 0. 0. 0. 0. 9. 0. 1. 0. 0.]
10,0.156338669359684,1,
11,,,[ 0.  0.  0.  0.  0.  0.  0.  2. 11.  0.]
11,,,[0. 0. 0. 0. 1. 0. 0. 9. 0. 0.]
6,,,[ 0.  0.  0. 38.  0.  0.  0.  0.  0.  0.]
4,0.582935094833374,1,
5,-0.9750284254550934,2,
6,0.5042701661586761,0,
7,0.27132517099380493,1,
8,0.2376946434378624,1,
9,0.27365146577358246,0,
10,,,[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
10,0.39540328085422516,0,
11,,,[0. 2. 4. 0. 0. 0. 0. 0. 0. 0.]
11,,,[ 0.  0. 11.  0.  3.  0.  0.  0.  0.  0.]
9,,,[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
8,0.47997047007083893,0,
9,0.4846946597099304,1,
10,-0.18821973353624344,3,
