depth,threshold,feature,is_leaf,value
8,0.4592346101999283,1,False,[  0.   0.   4.   0.   0.   0. 101.   2.   0.   0.]
9,-2.0,-2,True,[0. 0. 4. 0. 0. 0. 0. 0. 0. 0.]
9,0.49932992458343506,0,False,[  0.   0.   0.   0.   0.   0. 101.   2.   0.   0.]
10,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0. 53.  0.  0.  0.]
10,0.5256055295467377,1,False,[ 0.  0.  0.  0.  0.  0. 48.  2.  0.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 2. 0. 0.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0. 48.  0.  0.  0.]
7,0.4511760473251343,1,False,[73. 17. 69.  0. 76.  0. 47. 61. 92.  6.]
8,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0. 47.  0.  0.  0.]
8,0.6140871644020081,1,False,[73. 17. 69.  0. 76.  0.  0. 61. 92.  6.]
9,0.5823227763175964,1,False,[73. 17. 69.  0. 76.  0.  0. 61. 64.  6.]
10,-0.6648307740688324,2,False,[73.  5. 50.  0. 38.  0.  0. 23. 55.  6.]
11,-2.0,-2,True,[16.  2. 33.  0.  7.  0.  0.  0. 34.  6.]
11,-2.0,-2,True,[57.  3. 17.  0. 31.  0.  0. 23. 21.  0.]
10,-0.6901478171348572,2,False,[ 0. 12. 19.  0. 38.  0.  0. 38.  9.  0.]
11,-2.0,-2,True,[ 0.  2. 13.  0.  4.  0.  0. 24.  0.  0.]
11,-2.0,-2,True,[ 0. 10.  6.  0. 34.  0.  0. 14.  9.  0.]
9,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0.  0.  0. 28.  0.]
5,0.40744633972644806,1,False,[117. 167. 150. 165. 920.  26. 379. 552. 724.  81.]
6,0.5592225193977356,0,False,[104. 141. 135.  34. 789.  26. 379. 480. 632.  81.]
7,-0.8900193572044373,3,False,[  0.  47.  50.  34. 180.  12.   0.  94. 251.   0.]
8,-0.09024826809763908,2,False,[  0.  47.  44.  34. 172.  12.   0.  88. 182.   0.]
9,0.32558876276016235,1,False,[  0.  30.  24.  34. 109.   0.   0.  69.  62.   0.]
10,-0.982780933380127,3,False,[ 0. 18. 17. 34. 69.  0.  0. 61.  6.  0.]
11,-2.0,-2,True,[ 0.  2.  1. 34. 15.  0.  0.  6.  0.  0.]
11,-2.0,-2,True,[ 0. 16. 16.  0. 54.  0.  0. 55.  6.  0.]
10,0.32775096595287323,1,False,[ 0. 12.  7.  0. 40.  0.  0.  8. 56.  0.]
11,-2.0,-2,True,[ 0.  0.  0.  0.  0.  0.  0.  0. 13.  0.]
11,-2.0,-2,True,[ 0. 12.  7.  0. 40.  0.  0.  8. 43.  0.]
9,0.13300977647304535,2,False,[  0.  17.  20.   0.  63.  12.   0.  19. 120.   0.]
10,0.513851135969162,0,False,[  0.  15.   0.   0.  31.   0.   0.   5. 100.   0.]
11,-2.0,-2,True,[ 0.  6.  0.  0. 13.  0.  0.  2. 86.  0.]
11,-2.0,-2,True,[ 0.  9.  0.  0. 18.  0.  0.  3. 14.  0.]
10,0.32285045087337494,1,False,[ 0.  2. 20.  0. 32. 12.  0. 14. 20.  0.]
11,-2.0,-2,True,[ 0.  2. 13.  0. 11. 11.  0. 10. 20.  0.]
11,-2.0,-2,True,[ 0.  0.  7.  0. 21.  1.  0.  4.  0.  0.]
8,0.3337429612874985,0,False,[ 0.  0.  6.  0.  8.  0.  0.  6. 69.  0.]
9,-2.0,-2,True,[0. 0. 5. 0. 0. 0. 0. 0. 0. 0.]
9,0.6775144040584564,2,False,[ 0.  0.  1.  0.  8.  0.  0.  6. 69.  0.]
10,0.38629768788814545,0,False,[ 0.  0.  1.  0.  8.  0.  0.  3. 69.  0.]
11,-2.0,-2,True,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
11,-2.0,-2,True,[ 0.  0.  1.  0.  7.  0.  0.  3. 69.  0.]
10,-2.0,-2,True,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
