depth,threshold,feature,value
4,,,[  0.   0.   6.   0.  16.   0. 198.  11.  18.   0.]
3,0.7288943529129028,0,
4,,,[  51.  205.  152.    0.   81.  195.   62.  479. 1371.   22.]
4,,,[ 43.  59.  51.   0.  82.  75.   0. 431. 591. 143.]
1,0.634849339723587,1,
2,0.6726598739624023,0,
3,0.13300977647304535,2,
4,,,[3667. 3327. 3219. 3294. 2993. 3016. 3492. 2365. 1572. 2081.]
4,,,[  53.  213.  162.    0.   88.  182.  132.  464. 1065.    0.]
3,-0.02151530096307397,2,
4,,,[ 912. 1119. 1480.    0. 1588. 1465. 1096. 1446. 1059. 2654.]
4,,,[ 146.  101.   63.    0.  183.  110.  200.  635. 1155.  265.]
2,0.5466556251049042,0,
3,0.2950292378664017,0,
4,,,[83.  8.  0.  0. 31.  0.  0.  2. 12.  0.]
4,,,[  55.   69.   33. 1678.   77.   90.    0.   72.   45.   20.]
3,0.6045840382575989,0,
4,,,[10. 54. 26.  0. 25. 30.  0. 14.  0.  0.]
4,,,[25.  3.  6.  0. 23. 15.  0. 22. 20.  0.]
1,0.13300977647304535,2,
2,0.634849339723587,1,
3,0.6726598739624023,0,
4,,,[3713. 3243. 3267. 3151. 2918. 2906. 3504. 2431. 1674. 2103.]
4,,,[1019. 1188. 1599.    0. 1611. 1643. 1186. 1548. 1174. 2661.]
3,0.5466556251049042,0,
4,,,[ 154.   75.   31. 1727.  108.   83.    0.   43.   55.   21.]
4,,,[38. 49. 24.  0. 34. 61.  0. 39. 25.  0.]
2,0.7450278699398041,0,
3,0.6016169488430023,0,
4,,,[ 74. 150. 122.   0.  76. 155. 147. 350. 775.   0.]
4,,,[ 15.  87.  40.   0.  37.  53.   0. 197. 663.  19.]
3,-0.9828901588916779,3,
4,,,[  0.   6.   1.   0.  31.   0. 120.   9.  44.   0.]
4,,,[ 34.  61.  30.   0.  60.  77.   0. 372. 543. 156.]
