depth,threshold,feature,value,branches
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 336, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,0.8313179314136505,1,,"[74, 77]"
6,0.8102444112300873,1,,"[75, 76]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 680, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
6,-0.878838986158371,3,,"[78, 79]"
7,,,"[0, 0, 0, 0, 0, 0, 110, 0, 62, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 1, 0, 0, 0, 0, 0, 0, 0, 0]",
4,-0.0644988901913166,2,,"[81, 88]"
5,0.9185070991516113,1,,"[82, 85]"
6,0.9029313921928406,1,,"[83, 84]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,-0.9378212988376617,2,,"[86, 87]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 7, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1239, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0]",
1,0.12188316509127617,0,,"[90, 123]"
2,0.06312761828303337,0,,"[91, 102]"
3,-0.7665452361106873,2,,"[92, 99]"
4,0.6583614945411682,1,,"[93, 94]"
5,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,0.6998484134674072,1,,"[95, 96]"
6,,,"[0, 0, 1248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,0.11743587255477905,3,,"[97, 98]"
7,,,"[0, 0, 1891, 0, 0, 0, 75, 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
4,0.682673990726471,1,,"[100, 101]"
5,,,"[0, 0, 284, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,,,"[0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
3,-0.9935993552207947,2,,"[103, 112]"
4,0.017212719190865755,3,,"[104, 111]"
5,0.0,3,,"[105, 108]"
6,0.08538692817091942,0,,"[106, 107]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 276, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,0.0886281207203865,0,,"[109, 110]"
7,,,"[0, 0, 291, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
7,,,"[0, 0, 319, 15, 0, 0, 0, 5, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
4,0.5394260585308075,1,,"[113, 118]"
5,0.06715241074562073,0,,"[114, 115]"
6,,,"[0, 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,-0.19599130749702454,3,,"[116, 117]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]",
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 1, 0, 0]",
5,0.06698064878582954,0,,"[119, 122]"
6,0.43006928265094757,3,,"[120, 121]"
7,,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
