depth,threshold,feature,value
11,,,[23.  4.  6.  0. 38. 13.  0. 99. 31.  0.]
8,-0.05591491982340813,2,
9,-0.982780933380127,3,
10,-0.9941810965538025,3,
11,,,[0. 0. 0. 0. 0. 0. 0. 9. 0. 0.]
11,,,[ 0. 11.  8.  0.  0.  0.  0.  2.  0.  0.]
10,-0.9657041728496552,3,
11,,,[ 0.  0.  3.  0. 11.  0.  0.  5. 35.  0.]
11,,,[ 0.  0.  0.  0. 13.  0.  0.  1.  0.  0.]
9,0.16704543679952621,2,
10,-0.9986575841903687,3,
11,,,[ 0.  0.  0.  0.  0.  0. 62.  0.  0.  0.]
11,,,[ 0.  6.  0.  0.  2.  0. 63.  7.  0.  0.]
10,0.7806318998336792,0,
11,,,[0. 3. 0. 0. 5. 0. 0. 6. 0. 0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 2. 8. 0.]
6,-0.9123663306236267,3,
7,0.6120841801166534,1,
8,-0.35768499970436096,2,
9,0.48608142137527466,1,
10,0.6735681593418121,0,
11,,,[0. 3. 0. 0. 3. 0. 0. 0. 0. 0.]
11,,,[0. 0. 2. 0. 0. 0. 0. 2. 0. 0.]
10,0.49502305686473846,1,
11,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 12.  0.]
11,,,[ 0.  0.  0.  0. 13.  0.  0.  2. 15.  0.]
9,-0.25950218737125397,2,
10,0.4097569137811661,0,
11,,,[0. 0. 0. 0. 4. 0. 0. 5. 0. 0.]
11,,,[ 0.  2.  0.  0. 28.  0.  0.  7.  0.  0.]
10,0.41594353318214417,1,
11,,,[ 0.  0.  0. 22.  6.  0.  0.  5.  0.  0.]
11,,,[13. 16. 13.  0. 57.  0.  0. 43. 38.  0.]
8,0.6123839616775513,1,
9,,,[ 0.  0.  0. 19.  0.  0.  0.  0.  0.  0.]
9,,,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
7,0.521047830581665,0,
8,0.37525469064712524,0,
9,,,[ 0.  0.  0.  0.  0.  0.  0.  0. 12.  0.]
9,0.5060656368732452,0,
10,0.6031230092048645,1,
11,,,[ 0.  4.  0.  0. 12.  0.  0.  1.  0.  0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
10,,,[0. 0. 0. 0. 0. 0. 0. 0. 8. 0.]
8,0.6007549464702606,0,
9,0.5913234651088715,1,
10,0.019396796822547913,2,
11,,,[ 0.  0.  0. 90.  2.  0.  0.  0.  0.  0.]
11,,,[0. 0. 0. 0. 0. 0. 0. 3. 0. 0.]
10,,,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
9,0.0641746073961258,2,
10,-0.4520554542541504,2,
11,,,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
11,,,[0. 0. 0. 0. 5. 0. 0. 0. 0. 0.]
10,,,[0. 0. 0. 0. 0. 0. 0. 0. 7. 0.]
4,0.5010416507720947,0,
5,-0.13727368414402008,3,
6,-0.2386639267206192,3,
7,-0.8238925039768219,2,
8,0.4061273783445358,0,
9,-0.8860377967357635,2,
10,-0.35366302728652954,3,
11,,,[11.  0. 39.  0.  6.  1.  0. 35.  0.  0.]
11,,,[ 0.  0. 15.  0. 21.  0.  0.  3.  0.  0.]
10,-0.8779275715351105,2,
11,,,[ 0.  0.  5.  0.  4.  0. 61.  0.  0.  0.]
11,,,[17.  1. 33.  0.  9.  8.  0. 14.  0.  0.]
9,0.4921194314956665,0,
10,0.40878045558929443,0,
11,,,[0. 0. 5. 0. 1. 0. 0. 2. 9. 0.]
11,,,[  5.  14. 127.   0.  44.   3.   0.  40.   0.   0.]
10,0.4923250526189804,0,
11,,,[20.  0.  0.  0.  1.  0.  0.  4.  0.  0.]
11,,,[ 0.  1. 23.  0.  8.  1.  0. 15. 14.  7.]
8,-0.8038981854915619,2,
9,0.41754138469696045,0,
10,0.4042005091905594,0,
11,,,[0. 1. 3. 0. 5. 0. 0. 2. 0. 0.]
11,,,[ 0.  0.  0.  0.  2.  0.  0.  2. 15.  0.]
10,0.25319115817546844,1,
11,,,[0. 0. 5. 0. 1. 0. 0. 4. 0. 0.]
11,,,[ 0.  1.  4. 67.  2.  0.  0.  3.  0.  0.]
9,0.008331626653671265,2,
10,-0.6486055552959442,3,
11,,,[37.  0.  4.  0.  2.  0.  0. 13.  0.  0.]
11,,,[15.  3. 20.  0. 12.  0.  0. 16.  0.  0.]
10,0.4486344903707504,1,
11,,,[0. 0. 0. 0. 3. 0. 0. 3. 0. 0.]
